age,sex,height
10.0,Boy,110.0
10.0,Boy,108.0

11.0,Boy,98.0
11.0,Boy,166.0
11.0,Boy,100.0
11.0,Boy,169.0
11.0,Boy,80.0
11.0,Boy,179.5
11.0,Boy,96.30000305175781
11.0,Boy,165.5
11.0,Boy,107.0
11.0,Boy,114.80000305175781
11.0,Boy,111.0
11.0,Boy,105.0
11.0,Boy,109.0
11.0,Boy,108.0
11.0,Boy,96.0
11.0,Boy,100.0
11.0,Boy,115.0
11.0,Boy,110.0

12.0,Boy,178.5
12.0,Boy,114.0
12.0,Boy,175.5
12.0,Boy,112.5
12.0,Boy,120.0
12.0,Boy,116.4000015258789
12.0,Boy,114.19999694824219
12.0,Boy,111.0
12.0,Boy,119.0
12.0,Boy,117.0
12.0,Boy,115.0
12.0,Boy,116.19999694824219
12.0,Boy,191.0

13.0,Boy,112.5
13.0,Boy,96.30000305175781
13.0,Boy,110.0
13.0,Boy,120.0
13.0,Boy,120.0
13.0,Boy,122.0
13.0,Boy,121.0
13.0,Boy,187.0
13.0,Boy,113.0
13.0,Boy,117.0
13.0,Boy,120.0
13.0,Boy,117.0
13.0,Boy,112.0
13.0,Boy,115.0
13.0,Boy,180.0
13.0,Boy,116.0
13.0,Boy,182.0
13.0,Boy,118.0

14.0,Boy,100.0
14.0,Boy,122.0
14.0,Boy,127.0
14.0,Boy,112.5
14.0,Boy,114.0
14.0,Boy,124.0999984741211
14.0,Boy,128.0
14.0,Boy,121.0
14.0,Boy,123.0
14.0,Boy,127.0
14.0,Boy,125.0
14.0,Boy,126.0
14.0,Boy,120.0
14.0,Boy,127.0
14.0,Boy,186.0
14.0,Boy,129.0
14.0,Boy,128.0
14.0,Boy,128.1999969482422
14.0,Boy,189.0
14.0,Boy,123.0
14.0,Boy,127.0
14.0,Boy,114.0

15.0,Boy,123.0
15.0,Boy,123.0
15.0,Boy,118.0
15.0,Boy,127.0
15.0,Boy,102.0
15.0,Boy,135.0
15.0,Boy,128.0
15.0,Boy,115.5
15.0,Boy,120.5
15.0,Boy,128.0
15.0,Boy,118.0
15.0,Boy,132.0
15.0,Boy,105.0
15.0,Boy,109.0999984741211
15.0,Boy,105.0

16.0,Boy,122.0
16.0,Boy,126.0
16.0,Boy,120.0
16.0,Boy,127.5
16.0,Boy,115.30000305175781
16.0,Boy,131.5
16.0,Boy,114.0
16.0,Boy,118.5
16.0,Boy,123.0
16.0,Boy,129.0
16.0,Boy,133.0
16.0,Boy,126.0
16.0,Boy,120.0
16.0,Boy,127.0
16.0,Boy,123.0
16.0,Boy,131.0
16.0,Boy,119.0
16.0,Boy,107.0
16.0,Boy,142.0
16.0,Boy,119.0
16.0,Boy,113.0
16.0,Boy,115.0
16.0,Boy,130.0
16.0,Boy,130.0
16.0,Boy,139.0
16.0,Boy,132.1999969482422
16.0,Boy,133.0
16.0,Boy,102.0
16.0,Boy,118.0
16.0,Boy,138.0
16.0,Boy,135.0
16.0,Boy,127.0
16.0,Boy,132.0
16.0,Boy,140.0
16.0,Boy,135.0
16.0,Boy,142.0
16.0,Boy,136.0
16.0,Boy,131.0
16.0,Boy,140.0
16.0,Boy,134.0
16.0,Boy,121.0
16.0,Boy,140.0


17.0,Boy,124.0
17.0,Boy,121.0
17.0,Boy,129.3000030517578
17.0,Boy,125.30000305175781
17.0,Boy,131.5
17.0,Boy,121.30000305175781
17.0,Boy,137.0
17.0,Boy,125.0
17.0,Boy,118.0
17.0,Boy,123.0
17.0,Boy,123.0
17.0,Boy,126.0
17.0,Boy,130.0
17.0,Boy,125.0
17.0,Boy,120.0
17.0,Boy,139.0
17.0,Boy,145.0
17.0,Boy,115.0
17.0,Boy,125.0
17.0,Boy,123.0
17.0,Boy,133.0
17.0,Boy,125.0
17.0,Boy,114.5
17.0,Boy,122.0
17.0,Boy,131.0
17.0,Boy,131.0
17.0,Boy,131.0
17.0,Boy,128.0
17.0,Boy,129.0
17.0,Boy,120.0
17.0,Boy,134.1999969482422

18.0,Boy,136.0
18.0,Boy,132.5
18.0,Boy,120.0
18.0,Boy,127.0
18.0,Boy,118.0
18.0,Boy,139.0
18.0,Boy,137.0
18.0,Boy,128.10000610351562
18.0,Boy,129.0
18.0,Boy,144.0
18.0,Boy,139.0
18.0,Boy,127.0999984741211
18.0,Boy,128.5
18.0,Boy,198.0
18.0,Boy,138.0
18.0,Boy,119.0
18.0,Boy,131.5
18.0,Boy,120.0
18.0,Boy,134.0
18.0,Boy,134.0
18.0,Boy,128.0
18.0,Boy,145.0
18.0,Boy,123.0
